lr-Adam/geometry,lr-Adam/variance,lr-Adam/albedo,lr-Adam/ambient,lr-Adam/blur,step,train/loss_rgb_mse_cam,train/loss_rgb_mse_proj,train/loss_rgb_l1_cam,train/loss_rgb_l1_proj,train/loss_eikonal,train/loss_mask,train/loss_sparsity,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_sparsity,train/num_rays,epoch,val/psnr,test/psnr
,,,,,2499,4.001136403530836e-05,1.9366878404980525e-05,0.0018940146546810865,0.0012548045488074422,0.01923285238444805,0.003387839300557971,0.9641268253326416,486.9281005859375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,6698.0,0,,
0.00048686188526901033,0.00048686188526901033,0.0048686188526901085,0.0048686188526901085,0.0048686188526901085,2549,,,,,,,,,,,,,,,,,
,,,,,2549,4.428415195434354e-05,1.9718070689123124e-05,0.0019805519841611385,0.0012620463967323303,0.018976595252752304,0.005775411147624254,0.9664849042892456,491.2903747558594,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,6957.0,0,,
0.0004809972778842306,0.0004809972778842306,0.004809972778842312,0.004809972778842312,0.004809972778842312,2599,,,,,,,,,,,,,,,,,
,,,,,2599,3.256760464864783e-05,2.054978904197924e-05,0.0017340428894385695,0.0013275820529088378,0.018436845391988754,0.003746576840057969,0.9674946069717407,506.03143310546875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,7275.0,0,,
0.0004752033139834006,0.0004752033139834006,0.004752033139834009,0.004752033139834009,0.004752033139834009,2649,,,,,,,,,,,,,,,,,
,,,,,2649,3.445217589614913e-05,2.0035295165143907e-05,0.0016841473989188671,0.0011666797799989581,0.01788443885743618,0.003725564107298851,0.9685850739479065,519.7288818359375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,7608.0,0,,
0.0004694791426141035,0.0004694791426141035,0.004694791426141042,0.004694791426141042,0.004694791426141042,2699,,,,,,,,,,,,,,,,,
,,,,,2699,3.8352976844180375e-05,1.8061848095385358e-05,0.0018288134597241879,0.0012095302809029818,0.01764787547290325,0.0037132157012820244,0.9702367186546326,534.1755981445312,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,7899.0,0,,
0.0004638239230742673,0.0004638239230742673,0.00463823923074268,0.00463823923074268,0.00463823923074268,2749,,,,,,,,,,,,,,,,,
,,,,,2749,3.697659121826291e-05,1.5104170415725093e-05,0.0017281012842431664,0.0011251093819737434,0.01730319857597351,0.0035378371831029654,0.9714465141296387,556.7579956054688,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8110.0,0,,
0.00045823682478869106,0.00045823682478869106,0.004582368247886914,0.004582368247886914,0.004582368247886914,2799,,,,,,,,,,,,,,,,,
,,,,,2799,3.168586772517301e-05,1.6153449905687012e-05,0.0015982321929186583,0.0011537539539858699,0.016572751104831696,0.002019087551161647,0.9724486470222473,564.3341674804688,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.00045271702718705946,0.00045271702718705946,0.0045271702718705994,0.0045271702718705994,0.0045271702718705994,2849,,,,,,,,,,,,,,,,,
,,,,,2849,2.535530256864149e-05,1.7210128135047853e-05,0.0014554919907823205,0.001147767761722207,0.016751762479543686,0.005539785139262676,0.9731525778770447,585.457763671875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.0004472637195834263,0.0004472637195834263,0.004472637195834265,0.004472637195834265,0.004472637195834265,2899,,,,,,,,,,,,,,,,,
,,,,,2899,2.825653791660443e-05,1.6506301108165644e-05,0.0016408064402639866,0.0011304523795843124,0.016223471611738205,0.0037004887126386166,0.9739850163459778,589.3502807617188,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.00044187610105715023,0.00044187610105715023,0.0044187610105715066,0.0044187610105715066,0.0044187610105715066,2949,,,,,,,,,,,,,,,,,
,,,,,2949,3.097658191109076e-05,1.999215419346001e-05,0.0015376778319478035,0.0012011489598080516,0.016202064231038094,0.0038679272402077913,0.9744537472724915,603.6790771484375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.00043655338033526497,0.00043655338033526497,0.004365533803352656,0.004365533803352656,0.004365533803352656,2999,,,,,,,,,,,,,,,,,
